id,mission,magazine,frame,in_sample,icon,icon_label,lap_var,content_lap,mean_lum,clip5_frac,clip250_frac,dark_frac,bright_frac,p50,p95,p99,featureless_frac,tilt_deg,has_horizon,black_frame,underexposed,overexposed,blurry,aimless,dud,crooked,quality
AS11-40-5929,AS11,40,5929,1,0,,481.8668073392173,643.6667881445044,86.6695481903699,0.0,0.0020029496173469387,0.12218490911989796,0.00860969387755102,95.0,178.0,236.0,0.25510204081632654,,0,0,0,0,0,0,0,0,-0.003985003120794443
AS11-40-5930,AS11,40,5930,1,0,,285.3020591811307,464.5553427750037,106.14898058832908,0.00015943877551020407,0.000323860012755102,0.37806421396683676,0.0037169164540816328,126.0,220.0,234.0,0.39285714285714285,0.0,1,0,0,0,0,0,0,0,-0.3542451219319652
AS11-40-5931,AS11,40,5931,1,0,,414.32869857373413,549.1102806439343,90.57442303093113,0.0,0.001096141581632653,0.21122648278061223,0.00308414381377551,101.0,143.0,217.0,0.25,,0,0,0,0,0,0,0,0,-0.1746378860598878
AS11-40-5932,AS11,40,5932,1,0,,307.9046725112416,478.85801543286,94.88565748565051,0.0,0.0004982461734693878,0.0004035794005102041,0.0009715800382653062,121.0,169.0,180.0,0.35714285714285715,0.0,1,0,0,0,0,0,0,0,-0.32167512678472115
AS11-40-5933,AS11,40,5933,1,0,,881.9411782515342,1234.5109203735176,116.47071308992346,0.0,1.4947385204081632e-05,4.982461734693877e-06,0.000284000318877551,130.0,208.0,221.0,0.2857142857142857,-8.625183178170461,1,0,0,0,0,0,0,0,0.6955127033813857
AS11-40-5934,AS11,40,5934,1,0,,906.488125692825,1224.737951389408,127.51383131377551,0.0,0.00013950892857142856,8.470184948979592e-05,0.0019630899234693877,156.0,214.0,230.0,0.2602040816326531,-5.440332031005506,1,0,0,0,0,0,0,0,0.6869758943675273
AS11-40-5935,AS11,40,5935,1,0,,111.099438056778,120.50305383749577,135.173095703125,0.0007672991071428571,0.007528499681122449,0.003378109056122449,0.038364955357142856,127.0,234.0,250.0,0.08673469387755102,0.0,1,0,0,0,0,0,0,0,-1.8036234131801685
AS11-40-5936,AS11,40,5936,1,0,,251.2724178936371,277.7935790075618,113.34098473373724,0.00045838647959183676,0.0011310188137755102,0.0028300382653061226,0.0023915816326530613,115.0,177.0,215.0,0.09693877551020408,0.0,1,0,0,0,0,0,0,0,-0.9065429382486069
AS11-40-5937,AS11,40,5937,1,0,,1149.3656119728328,1462.6172369211677,124.9869160554847,0.0,0.00011957908163265306,4.982461734693877e-06,0.0008818957270408163,147.0,211.0,225.0,0.21428571428571427,-3.4336303624505224,1,0,0,0,0,0,0,0,0.877626838071727
AS11-40-5938,AS11,40,5938,1,0,,941.5005109834452,1317.8210518965432,113.43595543686224,0.0,0.000408561862244898,6.975446428571428e-05,0.001624282525510204,133.0,199.0,217.0,0.2857142857142857,7.869075551790507,1,0,0,0,0,0,0,0,0.7656556822341916
AS11-40-5939,AS11,40,5939,1,0,,485.5669203692056,658.9783876089402,135.15320073341837,0.0,0.0006128427933673469,9.964923469387754e-06,0.0022271603954081634,169.0,220.0,229.0,0.2653061224489796,15.751173663453027,1,0,0,0,0,0,0,1,0.021266292498911883
AS11-40-5940,AS11,40,5940,1,0,,376.77223491547056,527.4059454177836,117.53645667251276,0.2990872130102041,0.00042849170918367346,0.3063865194515306,0.0027901785714285715,145.0,219.0,228.0,0.2857142857142857,4.0444855741811025,1,0,0,0,0,0,0,0,-0.21795445048165402
AS11-40-5941,AS11,40,5941,1,0,,255.2029378462811,427.3642530789982,108.15716179049745,0.13226941167091838,0.0008420360331632653,0.39902044802295916,0.008614676339285714,133.0,228.0,239.0,0.40816326530612246,0.0,1,0,0,0,0,0,0,0,-0.44387118722880026
AS11-40-5942,AS11,40,5942,1,0,,331.40958474120316,456.28183241123196,97.55290876116071,0.0,0.00559032206632653,0.23920300542091838,0.021200374681122448,114.0,221.0,248.0,0.2755102040816326,,0,0,0,0,0,0,0,0,-0.37354648133595403
